task,task_root,episode_index,num_frames,memory_segments,missing_frames,missing_ranges,is_full_coverage
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,0,668,"0-478,479-666",1,667,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,1,665,"0-478,479-663",1,664,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,2,662,"0-478,479-661",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,3,458,0-456,1,457,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,4,658,"0-254,255-485,486-657",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,5,886,"0-190,191-478,479-695",190,696-885,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,6,463,0-461,1,462,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,7,671,"0-190,191-478,479-670",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,8,865,"0-62,63-478,479-683,684-864",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,9,670,"0-239,240-478,479-669",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,10,871,"0-334,335-478,479-590,591-688",182,689-870,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,11,466,0-464,1,465,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,12,473,"0-187,188-282",190,283-472,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,13,674,"0-62,63-478,479-673",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,14,871,"0-286,287-713",157,714-870,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,15,471,"0-249,250-469",1,470,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,16,663,"0-62,63-446,447-662",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,17,476,"0-284,285-475",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,18,889,"0-239,240-478,479-887",1,888,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,19,868,"0-239,240-478,479-686,687-866",1,867,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,20,868,"0-191,192-685,686-867",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,21,468,0-466,1,467,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,22,876,0-689,186,690-875,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,23,475,"0-283,284-474",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,24,665,"0-222,223-323,324-446,447-606,607-664",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,25,465,0-463,1,464,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,26,466,"0-278,279-465",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,27,667,"0-190,191-665",1,666,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,28,887,"0-587,588-718",168,719-886,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,29,873,"0-190,191-688",184,689-872,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,30,863,"0-222,223-682,683-862",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,31,726,"0-190,191-478,479-721",4,722-725,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,32,468,0-466,1,467,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,33,678,"0-478,479-676",1,677,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,34,696,"0-190,191-478,479-694",1,695,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,35,469,0-217,251,218-468,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,36,655,0-654,0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,37,871,"0-493,494-686,687-870",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,38,861,"0-62,63-446,447-658,659-860",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,39,469,0-467,1,468,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,40,872,"0-62,63-318,319-687,688-871",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,41,874,"0-239,240-493,494-686,687-873",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,42,471,"0-187,188-469",1,470,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,43,469,"0-186,187-279,280-468",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,44,858,"0-284,285-494,495-656,657-857",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,45,654,"0-478,479-653",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,46,674,"0-62,63-446,447-673",0,,True
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,47,462,0-460,1,461,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,48,456,"0-181,182-454",1,455,False
battery_try,/mnt/workspace/InfiData/Rmbench_infi/battery_try,49,868,"0-62,63-239,240-478,479-685,686-866",1,867,False
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,0,1030,"0-222,223-479,480-719,720-1029",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,1,1960,"0-29,30-222,223-719,720-958,959-1438,1439-1678,1679-1886,1887-1959",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,2,1954,"0-478,479-718,719-958,959-1199,1200-1678,1679-1933",20,1934-1953,False
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,3,1953,"0-239,240-478,479-719,720-1438,1439-1814,1815-1952",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,4,2430,"0-222,223-702,703-878,960-1886,1887-2158,2159-2398,2399-2429",81,879-959,False
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,5,556,"0-222,223-555",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,6,2435,"0-29,30-190,191-718,719-913,914-1198,1199-1358,1359-1453,1454-1614,1615-2158,2159-2398,2399-2434",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,7,1030,"0-222,223-718,719-958,959-1029",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,8,556,"0-222,223-470,471-555",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,9,557,"0-478,479-556",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,10,553,"0-222,223-466,467-552",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,11,2431,"0-479,480-718,719-1439,1440-1678,1679-2159,2160-2398,2399-2430",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,12,2433,"0-718,719-958,959-1422,1423-1679,1680-1919,1920-2111,2112-2270,2271-2398,2399-2432",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,13,1488,"0-222,223-718,719-958,959-1198,1199-1410",77,1411-1487,False
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,14,557,"0-239,240-556",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,15,1495,"0-222,223-431,432-719,720-1199,1200-1410,1411-1494",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,16,556,"0-29,30-191,192-350,351-555",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,17,1030,"0-239,240-478,479-883,884-958,959-1029",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,18,2431,"0-29,30-191,192-702,703-1198,1199-1678,1679-2158,2159-2341,2342-2430",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,19,558,"0-239,240-478,479-557",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,20,2428,"0-479,480-769,770-943,944-1102,1103-1358,1359-1439,1440-1566,1567-1694,1695-1822,1823-2142,2143-2337,2338-2427",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,21,2428,"0-222,223-718,719-856,857-1086,1200-1678,1679-2159,2160-2339,2340-2427",113,1087-1199,False
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,22,2429,"0-222,223-719,720-958,959-1358,1359-1439,1440-2158,2159-2342,2343-2428",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,23,1032,"0-222,223-462,463-719,720-1031",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,24,1031,"0-430,431-719,720-958,959-1030",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,25,1949,"0-702,703-878,879-974,975-1070,1071-1166,1167-1438,1439-1678,1679-1918,1919-1948",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,26,1027,"0-256,257-702,703-943",83,944-1026,False
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,27,1961,"0-222,223-719,720-958,959-1198,1199-1438,1439-1678,1679-1825,1826-1940",20,1941-1960,False
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,28,556,"0-222,223-555",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,29,2431,"0-239,240-856,960-1199,1200-1394,1395-1554,1555-1919,1920-2339,2340-2430",103,857-959,False
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,30,1491,"0-222,223-622,623-878,879-958,959-1344,1345-1490",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,31,1029,"0-29,30-239,240-478,479-883,884-958",70,959-1028,False
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,32,1490,"0-718,719-958,959-1392,1393-1489",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,33,1490,"0-222,223-878,879-958,959-1430,1431-1489",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,34,1031,"0-239,240-719,720-1030",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,35,1030,"0-260,261-719,720-958,959-1029",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,36,1958,"0-29,30-158,159-286,287-414,415-718,719-913,914-1422,1423-1957",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,37,1493,"0-222,223-622,623-911,912-1464,1465-1492",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,38,1489,"0-718,719-958,959-1333,1334-1438,1439-1488",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,39,554,"0-222,223-553",0,,True
